track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_min
0B8tteaC3h0B5EkeA4BAWN,Lost In Your Love - Alkaz Remix,Friendzone,42,6ni1QcWu53oxMATfXTw25t,Lost In Your Love (Alkaz Remix),2019-12-27,Brand New EDM,2dNitDEHM9FpUGEHWc7zyW,edm,progressive electro house,0.448,0.743,6,-4.225,Minor,0.046,0.137,0,0.103,0.371,127.983,200625,3.34375
3otXXK647gcQHcy6Mu5aGy,Racks,YUCIFER,36,3aN2F6q2YUGKuK2Gqffre4,Racks,2019-12-19,Gangster Rap,5joQabz9ys3XPGbSx5CaKv,rap,gangster rap,0.731,0.877,10,-3.711,Minor,0.0642,0.356,0.0782,0.0559,0.576,165.161,136727,2.278783333333333
52FMlC7YZz0i45n185CzCg,Numb,Max Jury,1,5OHbUUJdfUj7XRMMFpM3KX,Max Jury,2016-06-03,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.669,0.487,7,-6.317,Major,0.0323,0.114,0.00739,0.268,0.186,116.987,250414,4.173566666666667
3FReeuzSopfaMzL1QXbqEa,Vanessa From Venezuela,3582,39,6FmikDf7lhHGjev7cNkrRH,Situational Ethics,2003-10-06,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.729,0.569,4,-11.106,Minor,0.124,0.207,0.208,0.1,0.506,95.984,186507,3.10845
4duVbLF51QbIQ7cUW3SvD3,Waverunners,dopeSMOOTHIES,0,6u6Lg2sJtvgz2N4WXb6X0F,Waverunner,2017-03-30,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.934,0.359,9,-10.569,Minor,0.37,0.488,8.29e-5,0.567,0.429,120.002,174940,2.9156666666666666
5iK8GmW2uiPuUc5CtkZrIK,Downtown,Majical Cloudz,53,2xF3ioefFdZrOg9zUBU5hb,Are You Alone?,2015-10-16,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.382,0.283,6,-9.357,Major,0.0292,0.786,0.00478,0.111,0.0441,95.3,249063,4.15105
3vVmMB8vMoBT0fSOMLFnML,Arcadia [Mix Cut] - Original Mix,Hardwell,27,4h5L9ygzxbc9GrWuhyHngh,Hardwell Presents Revealed Vol. 5,2014-06-27,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.526,0.915,6,-6.412,Minor,0.0322,4.05e-5,0.0266,0.802,0.0383,129.91,233067,3.88445
6Cem6HiDOqW3y7UTpEDxgp,Hacerlo de Nuevo,McKlopedia,46,2nkN3zyt0BRCmE2tORvmhf,Hacerlo de Nuevo,2019-11-08,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,0.81,0.801,4,-5.667,Minor,0.335,0.228,4.31e-6,0.102,0.504,88.083,217899,3.63165
1cBNzkPsAdI7XJaKIsjKUk,"Girl, Interrupted",2xxx!,45,2vEU8SL0eLzr3P9jjagEw3,Life,2017-11-28,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.513,0.379,1,-13.587,Minor,0.171,0.259,3.05e-5,0.0711,0.0619,85.645,180972,3.0162
25XphFUCyqVtIz9mI0Bqi4,Straight Up Menace,Menace ll Society,0,0PB8s2taVctplXwTxvuNuV,Menace II Society (Music From The Motion Picture Soundtrack),1993,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,rap,gangster rap,0.734,0.469,7,-11.546,Major,0.145,0.00114,0.015,0.328,0.539,79.87,276402,4.6067
5djZm1zFGcJUSUqbBjrAZH,"O Saki Saki (From ""Batla House"")",Neha Kakkar,60,4ImAT6aKzDUu41c3cetBOE,Mesmeric Voice - Tulsi Kumar,2019-08-16,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,0.737,0.961,10,-0.155,Minor,0.0747,0.163,0,0.361,0.567,108.014,191089,3.184816666666667
6Wtw3rBk8YiJUWdVVhFGEI,La Aventura,BB Nobre,36,7vu5mdc9NPZWN5puPIEtfn,La Aventura,2019-03-29,Academia Reggaetón,37i9dQZF1DXd8p9XRfIfUn,latin,reggaeton,0.741,0.615,1,-5.346,Major,0.153,0.114,0,0.0889,0.609,179.801,200000,3.3333333333333335
3J2gbESlzrz86jonlkE2Qg,2020 - Radio Edit,Chris Burke,30,35MzwNrVLXOUVoIsBSIiI2,2020,2019-12-31,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.569,0.974,5,-4.825,Minor,0.0435,0.00575,0.962,0.232,0.0683,130.039,144082,2.4013666666666666
1xzmiU62MuWPRRduUT7vHe,No Mercy (feat. Denzel Curry),MELODOWNZ,53,5eBlaL5ckpPaz24eXizz1L,No Mercy (feat. Denzel Curry),2019-12-05,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.754,0.769,10,-5.138,Minor,0.406,0.248,0,0.262,0.696,176.002,180190,3.0031666666666665
7AtvZVWQPO2AWHKEZnTqYO,Tonight - Club Mix Edit,Newclaess,24,2O9ruKQ33olFa09ibrDrru,Tonight,2017-03-31,Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house,0.625,0.915,6,-3.24,Minor,0.0688,0.0286,9.42e-4,0.404,0.231,126.054,186253,3.104216666666667
2VdmtbDiJ8K335JH45rEyp,Kiss from a Rose,Wake Me,44,3FdYU5jMSExVUixa19RrQc,Kiss from a Rose,2017-01-03,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.523,0.919,0,-3.5,Major,0.0419,9.41e-5,0,0.305,0.151,133.976,295987,4.933116666666667
1E5m92fn5c92TUH6NP7HDX,Tutto apposto (feat. Capo Plaza),Philip,63,0nKGLpCDpfDeNMgXLlsYiw,Tutto apposto (feat. Capo Plaza),2019-09-27,Zona Trap,37i9dQZF1DWXU2naFUn37x,rap,trap,0.7,0.616,4,-8.505,Major,0.155,0.27,0,0.174,0.55,140,175429,2.9238166666666667
3mMLNYqksF82jffNPJseaz,Wicked Games,The Hot Damns,49,78gd78w8hlWiSjuLaqrpm7,The Hot Damns,2014-07-17,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.484,0.543,7,-5.62,Major,0.0268,3.75e-5,1.45e-5,0.108,0.638,84.975,193765,3.229416666666667
1GqAnfNhm0sCGvgo447IiC,It's Not Unusual,Tom Jones,2,0j5KURgO7zBE66gKpGV9md,It's Not Unusual,1987-01-01,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.496,0.596,0,-12.564,Major,0.047,0.51,0,0.22,0.905,92.733,125533,2.092216666666667
0uVyZywUNOp6S0dU5r8TS8,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,69,1SrvubPy1Dg2BWJyTMcmgr,Prayer,2014-09-16,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.76,0.886,9,-5.356,Minor,0.0258,0.0219,7.43e-6,0.623,0.78,123.002,189399,3.15665
31OxOoAMgq8zCXwG9xCrYl,Mi Producto,GabrielRodriguezEMC,31,4Sx0BNAK3aYKOZ6RbSaZL8,Mi Producto,2018-12-31,LATIN FLOW MIX - Música Cristiana🎵,396llvvFOIB9jgPg0kqNDb,latin,latin hip hop,0.689,0.835,1,-3.168,Major,0.37,0.25,0,0.179,0.605,104.345,182857,3.047616666666667
07QhYDCvAIdgI7kvTlJDmP,Me (Original Mix),Deorro,0,1PlIhjCP2cUoQl8bKo5m57,Me EP,2012-09-10,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.894,0.928,7,-3.003,Major,0.167,0.0025,0.266,0.11,0.395,128.007,414375,6.90625
0PG9fbaaHFHfre2gUVo7AN,Please Me,Cardi B,79,5a4sJJ3qjn6hqRsvm0Veso,Please Me,2019-02-15,Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,r&b,urban contemporary,0.747,0.57,1,-6.711,Major,0.081,0.0642,0,0.0832,0.65,133.992,200890,3.3481666666666667
3s3TyOdCEIxOWWZ3v8VNP0,Кружим,Seryoga,23,3zrMbUOLWwGX68TSlLehpa,Синглы,2017-10-12,RUSSIAN Gangster Rap,0Jw0HckkxCfIrOvpN081eV,rap,gangster rap,0.629,0.686,2,-5.025,Major,0.447,0.282,0,0.107,0.864,177.706,129907,2.1651166666666666
6nbl4SmulAbqHfiqt1P7FB,Mvp,Letra J,35,70LhJFS1qu6puDII4ehtCf,Mvp,2019-06-07,Arena Hip-Hop,37i9dQZF1DWVFZbCNivv6B,rap,hip hop,0.722,0.602,3,-7.433,Minor,0.0904,0.00285,0.00367,0.111,0.492,87.018,183202,3.053366666666667
6awLXIvXP7QzU4iTmhIQMD,Relieve,Blinders,42,66NV0awTfkF6T1sSgoU2dq,Relieve,2019-03-08,PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,edm,big room,0.689,0.956,5,-3.837,Minor,0.101,0.0663,0.176,0.393,0.401,128.088,164062,2.734366666666667
0QRnRlNFMjjJuznhZfz0e7,Here Comes the King,Dirty Shirley,37,1flmPHcXnLuWvPhVkxxHMM,Here Comes the King,2019-10-30,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.493,0.901,8,-6.398,Major,0.047,3.67e-4,0.00377,0.0733,0.351,138.999,403506,6.7251
5M9SmAeRC3Maagednv0lnt,Let It Go,Electrick Village,20,2Z3ZTbZZyFSrpAxiDgKTHs,Let It Go,2017-10-27,EDM Trap,7CEEEMKV41x0RlFCXWdvKF,edm,pop edm,0.545,0.687,5,-4.706,Minor,0.0361,0.135,0,0.112,0.218,131.816,181818,3.0303
6MNtx2I1QaELzsLDaxAchs,Tear Down the Wall,Art Of Dying,54,5iP7K8ISRFPTllruB71AMS,Rise Up,2015-12-11,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,0.58,0.964,2,-3.591,Major,0.0417,2.95e-4,2.73e-5,0.325,0.619,96.009,184977,3.08295
1EkfLPVfNN7ycOpCattXKK,Bridge over Troubled Water - Radio Edit,Roberto Bates,22,4lgKVNTgPXAcrzZQrKpPIn,Bridge over Troubled Water (Radio Edit),2018-06-01,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.732,0.699,7,-5.768,Major,0.0549,0.0229,6.53e-6,0.112,0.624,120.028,182000,3.033333333333333
7bxnKAamR3snQ1VGLuVfC1,City Of Lights - Official Radio Edit,Lush & Simon,42,2azRoBBWEEEYhqV6sb7JrT,City Of Lights (Vocal Mix),2014-04-28,♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house,0.428,0.922,2,-1.814,Major,0.0936,0.0766,0,0.0668,0.21,128.17,204375,3.40625
4fc8mRy5dOvy4H6YiVXzKC,Supposed to Be,Sangarang,38,7FG2LkHQSK7Wtzi3YkoWpL,Supposed to Be,2019-10-25,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.715,0.773,9,-5.629,Minor,0.295,0.0742,0,0.078,0.488,89.881,137484,2.2914
3DmTvxgaOYdKS9dQ1z1mSd,Cuando Mueves,Dateless,45,5vP7LROhcY3cXMViIG8sps,Cuando Mueves EP,2017-09-25,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.806,0.64,8,-8.055,Minor,0.107,0.00144,0.851,0.295,0.184,123.004,255610,4.260166666666667
68kLzyjFtXoKIv4NZQlZYe,Too Fast,st. august,37,1tETuTsm47uVPtkQvUzCZi,Too Fast,2019-05-20,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.693,0.784,5,-8.187,Minor,0.0674,0.0979,1.1e-5,0.0872,0.53,159.975,240187,4.003116666666667
1jCKAMsvvLowhwmrI1aNsz,"Tamizhi - From ""Tamizhi""",Hiphop Tamizha,46,4dcTJ4PXpcengi9t6sZVhq,"Tamizhi (From ""Tamizhi"")",2019-09-20,RAP 91,37i9dQZF1DX1ct2TQrAvRf,rap,hip hop,0.521,0.9,3,-6.358,Major,0.0623,0.0187,0,0.164,0.416,140.044,294961,4.916016666666667
7wWVVqKUGRZPqUzGjWAp5h,Tomorrow Will Come,CASS,38,7KtQjMUYtTjVIsNLmTjmo4,Tomorrow Will Come,2018-02-02,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.689,0.547,1,-7.766,Minor,0.107,0.126,1.39e-6,0.363,0.52,143.949,181774,3.0295666666666667
021vQZqzIjzEaLSUvXHjcH,Still I Crave You,Snowk,24,4OVpZwExK8lKN7dQyRnBF7,Still I Crave You,2020-01-15,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,0.792,0.812,9,-7.214,Minor,0.0493,0.0384,1.09e-5,0.0952,0.757,115.011,185739,3.09565
4nnGzheGSMqpLiMStHQkNB,Primadonna,Nina Tribus,39,0ZW5nRDNk9uVCpOGLUPQcI,Primadonna,2019-11-22,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.776,0.461,1,-9.774,Major,0.115,0.01,5.28e-5,0.408,0.717,109.977,137555,2.2925833333333334
7g74UJ4l34GKdoPniASVyv,These Old Boots,Phil Campbell,31,4b0C3wtTB3pmLm0dLGVPmE,These Old Boots,2019-08-09,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.458,0.969,1,-4.253,Major,0.0928,6.81e-6,0.511,0.296,0.503,131.027,304580,5.076333333333333
4Ih0JljQ3X3PbHfmuk05PR,Que Locura Enamorarme De Ti,Eddie Santiago,7,0Lkf1Mgd8iTICnd8sYGgoi,Pura Salsa,2006-01-01,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.776,0.822,1,-5.663,Major,0.0416,0.698,0,0.103,0.953,93.559,309573,5.15955
2hZfSXDhitRcQcFtfRDF8g,Beating Of My Heart - Matisse & Sadko Remix,M-3ox,35,4MESEvnHiksiLoxap3BS21,Ibiza 2012,2012-06-18,Vocal House,5PCAWKfUWAUj8VeY8G7xRQ,edm,progressive electro house,0.565,0.898,7,-6.573,Minor,0.0358,8.17e-4,0.698,0.322,0.381,127.988,390000,6.5
0oxXvoTbHgVsVSoP8B14lN,Sick enough to dance,the engy,36,4Gr857YPBvD2CFUlhLisg1,Talking about a Talk,2019-10-30,SINULOG Festival 2020,0COM4nZqdXC3sMjVdcaU7V,edm,big room,0.671,0.878,2,-5.507,Major,0.0916,0.0364,0,0.319,0.702,120.962,193233,3.22055
4uRx3SdWG2cNVfRNVPwHDS,Carillon (with Achille Lauro),Nahaze,64,5m6qywwXbrvheftV15bf4q,Carillon (with Achille Lauro),2019-12-11,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.561,0.562,9,-11.431,Minor,0.15,0.062,0,0.118,0.244,151.631,242385,4.03975
67BSKlgTnOM6T3urm8qsWp,Sweaters,Blanks,49,3HfcmWfkEqyo9z69x1lC2M,Sweaters,2020-01-10,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.727,0.75,6,-6.223,Major,0.0322,0.225,0,0.101,0.754,121.958,177848,2.9641333333333333
5Bsaf1lRrFcRLbLeGRm70p,Up All Night,Joey Busse,30,6xv7nyG4ToAkIZk7DWnnDx,Up All Night,2019-07-12,Tropical House 🌴,06zrBJ5cts5aemZmqe80J7,latin,tropical,0.469,0.586,4,-5.832,Major,0.29,0.536,0,0.113,0.603,85.129,204280,3.4046666666666665
0JFKj8g0LA9uMNlo8d0pM2,Fake News,The Luka State,16,2ixPKHbuQJ3Q8aZqzAhHGI,Fake News,2020-01-17,Modern Indie Rock // Alternative Rock / Garage Rock / Pop Punk / Grunge / Britpop / Pop Rock,1VnvyBDqoV5TCZAnXYferL,rock,permanent wave,0.369,0.967,10,-8.032,Minor,0.0974,3.95e-5,0,0.664,0.218,163.053,193842,3.2307
7Cv2Jm8ca9n7aMO0zRfJB6,This Song,Mike La Funk,31,5PiVhYAeRBKBNcOrOZKPBs,This Song,2019-07-01,Club Mix 2020 🍹,7sq6nuruoMyDhEWkX2oYOg,edm,electro house,0.802,0.634,0,-5.992,Minor,0.116,0.362,2.74e-5,0.0802,0.884,124.014,183145,3.0524166666666668
36Qy3bLHeEeDHCTOFyykpL,Chit Chat,Small Talk,43,5mFtS5PJzS0GA7cXWF3fD9,Chit Chat,2018-10-05,Tropical Vibes,37i9dQZF1DXd8Gn5cSmvFy,latin,tropical,0.804,0.679,1,-7.399,Major,0.175,0.132,1.32e-5,0.215,0.816,100.016,185584,3.0930666666666666
3v64IAj0C9myTAtDsUAqR3,The Things We Used to Share,Thomas Sanders,56,3QMS5Pw2MSPu1btDQThrg3,The Things We Used to Share,2017-07-27,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.617,0.39,0,-8.681,Major,0.062,0.951,5.82e-6,0.128,0.381,141.953,203583,3.39305
3Z2AzZDyeu1Fr5HmKc1KJ9,Candela,Afro Bros,41,4ZKsPLdRQfos47GpzOt6Bg,Game of Bros,2018-11-02,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.787,0.836,1,-5.083,Major,0.0395,0.0175,0.0341,0.0875,0.429,100.02,211917,3.53195
54ztfXZugJVUu6BMmavJgX,Def,Latmun,0,0Nsxhl2biAO7wLGwB1Ht9C,The Masquerade (Mixed by Claptone),2016-10-28,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.809,0.939,2,-7.289,Major,0.0554,5.73e-5,0.892,0.0455,0.8,124.013,403500,6.725
6orRFPOpyksp2Hgh7KDehQ,Qué hay más allá,María Parrado,47,0nA3yR0mNPvh8ckbehR4YP,Vaiana (Banda Sonora Original en Castellano),2016-12-02,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.648,0.349,4,-10.809,Major,0.0843,0.673,0,0.0959,0.121,84.055,163387,2.723116666666667
5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,71,163iYwl7Kdm9ayTnD4VyfN,Partners In Crime,1979-01-01,Soft Rock Drive,37i9dQZF1DX6TIU4D13lOY,rock,classic rock,0.836,0.509,0,-13.668,Major,0.0548,0.467,4.1e-6,0.0436,0.949,138.713,276493,4.608216666666666
2tOOcDDYkh0PSjr6GwPEAJ,Love Me Less (feat. Quinn XCII),MAX,78,0BHgyJ3dblyBOmxV8pRmGg,Love Me Less (feat. Quinn XCII),2019-04-05,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.732,0.856,11,-2.2,Minor,0.0929,0.0828,0,0.323,0.771,145.034,177670,2.9611666666666667
0N0q5D8KmH13mmODXJsJqS,Can't You See,The Marshall Tucker Band,14,6YP72TaEOl8sG1TGFicJrA,The Marshall Tucker Band,1973,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.407,0.706,7,-5.526,Major,0.0348,0.254,0.00693,0.125,0.54,164.022,361227,6.02045
5WrEilrRI5cIW0DxMvQYPZ,Jopping,SuperM,75,1C1qYeSC9RdgbrKXpZCTSJ,SuperM - The 1st Mini Album,2019-10-04,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,0.74,0.835,10,-3.425,Minor,0.0839,0.0139,0,0.857,0.535,123.024,251293,4.1882166666666665
4cwfpmkkaUXGJEEwhPjg9j,Prayers,MIKE,48,36JHipgvgoQuVg1cP7Bq61,War in My Pen,2018-12-21,Alternative Hip Hop,37i9dQZF1DWTggY0yqBxES,rap,hip hop,0.285,0.848,3,-8.809,Minor,0.514,0.121,8.76e-5,0.101,0.577,81.465,185455,3.0909166666666668
5QSYWruQQ7kBCHScI4xJ9g,Bajo El Agua,Manuel Medrano,73,3XeEBV0owMhwHmyLfaMxwg,Manuel Medrano,2015-10-30,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT,latin,latin pop,0.616,0.454,4,-8.504,Major,0.0273,0.767,3.48e-5,0.105,0.249,99.998,225839,3.7639833333333335
6ThyKCpWXwqfy075AY1CpU,African Woman So Fine,HARRI BEST,6,2ihzkri5DiXd9ZV91tYSnb,African Woman So Fine,2018-10-09,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.799,0.654,5,-5.835,Major,0.041,0.107,3.91e-4,0.105,0.815,100.981,226970,3.7828333333333335
1W7ZNYKcYjacT95mAVR6cS,Cheap Thrills Remix,Sia,25,2sx7weqHEvZQCN7LQhFqiy,Cheap Thrills Remix,2016-06-17,EDM - pop remixes,0cvVad4XizGbOS0vlwZYS5,edm,pop edm,0.534,0.749,6,-5.562,Minor,0.0749,0.0776,1.47e-6,0.0906,0.671,179.975,212160,3.536
65RTyZesurf9xxf7FZVL1u,Not Today - Remix,Hillsong UNITED,43,3wNAcHO8vZNoUyhaVopRb3,Not Today,2018-09-28,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.617,0.833,6,-4.476,Minor,0.0449,0.0919,0,0.385,0.43,109.995,219187,3.6531166666666666
1MMNC0vQQEgx74n6dSt7ED,Van Gogh,Tiacca,34,7u2944c903u5wJUu2C2kLG,Van Gogh,2019-11-18,F**KIN PERFECT,3CzQZEf6jmEjDmBIVO9rdR,latin,latin pop,0.793,0.652,6,-8.796,Minor,0.0573,0.303,0,0.125,0.638,125.675,250119,4.16865
5rRDCbF97rcJW0ES9RhPhC,Life's What You Make It,Graham Colton,50,2p1lJKQNcodNZVqsuFq6H2,Life's What You Make It,2016-03-04,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.655,0.686,7,-5.701,Major,0.028,0.371,1.13e-6,0.113,0.544,112.974,186109,3.1018166666666667
2A06KcgNNc493lQELJypJF,Done Da Da,Massari,46,4Xca8ox7sPTxJL9keIt9gO,Tune In,2018-07-20,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.487,0.797,1,-4.237,Major,0.0646,0.0434,0.00363,0.108,0.683,167.952,177102,2.9517
71X7bPDljJHrmEGYCe7kQ8,The Schuyler Sisters,Renée Elise Goldsberry,68,1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),2015-09-25,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.74,0.727,2,-6.253,Major,0.278,0.186,0,0.627,0.792,101.408,186543,3.10905
6T4YnHyR1x4RfZD9dejJsO,Storyteller,Ioearth,6,30Kjv91HZSgki1BkJ3c9py,Ioearth,2009-03-09,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.34,0.759,7,-5.992,Major,0.039,0.157,0.821,0.562,0.181,80.023,300760,5.012666666666667
5on0YbOVfolitti3rObZKD,Let's Win,Wave Chapelle,10,0YOwKQw0X0xwO3pVYqQzow,Let's Win (feat. IshDARR) - Single,2015-10-23,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.47,0.833,1,-5.637,Major,0.432,0.0575,0,0.142,0.166,86.706,244000,4.066666666666666
