taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
ERUF,2586,N,F,LYMPH,N,599,1977-03-17,3,NA,CB,Duke Lemur Center,1,120,1976-11-17,11,1512,HEME,ERUF,1972-03-08,4.7,MULT2,NA,NA,NA,NA,NA,NA,NA,6.71,6.71,NA,NA,620,1977-06-03,6,78,11.14,2.56,2,0.21,38,7,5.43,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2589,N,F,HELEN,N,598,1977-03-16,3,NA,CB,Duke Lemur Center,1,120,1976-11-16,11,541,HERMIONE,ERUF,1968-03-28,8.64,515,THURBER,ERUF,1958-10-01,18.14,NA,NA,NA,2.16,2.16,NA,NA,1202,1977-09-15,9,183,26.14,6.02,6,0.5,149,14,10.64,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,3508,N,M,MACHO,N,321,1977-04-18,4,NA,CB,Duke Lemur Center,1,120,1976-12-19,12,514,LISA DELLA,ERUF,1965-03-08,11.79,MULT2,NA,NA,NA,NA,1992-08-12,15.33,NA,NA,15.33,5,NA,1205,1977-08-12,8,116,16.57,3.81,3,0.32,70,7,10,5479,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,3533,N,M,RUST,N,635,1977-08-17,8,NA,CB,Duke Lemur Center,1,120,1977-04-19,4,519,RED CHILD,ERUF,1966-03-04,11.13,MULT2,NA,NA,NA,NA,1995-05-30,17.79,NA,NA,17.79,NA,NA,530,1977-10-05,10,49,7,1.61,1,0.13,105,12,8.75,6446,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,3556,N,M,MENELAUS,N,661,1978-04-03,4,NA,CB,Duke Lemur Center,1,120,1977-12-04,12,541,HERMIONE,ERUF,1968-03-28,9.69,515,THURBER,ERUF,1958-10-01,19.19,1992-08-17,14.38,NA,NA,14.38,5,NA,313,1978-05-08,5,35,5,1.15,1,0.1,79,11,7.18,5215,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,3562,N,F,GLOBIN,N,669,1978-04-15,4,NA,CB,Duke Lemur Center,1,120,1977-12-16,12,1512,HEME,ERUF,1972-03-08,5.78,MULT2,NA,NA,NA,NA,1999-07-07,21.24,NA,NA,21.24,1,NA,3192,1985-10-23,10,2748,392.57,90.35,90,7.53,1694,2531,0.67,5005,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,3569,N,M,JUPITER,N,29,1978-04-21,4,NA,CB,Duke Lemur Center,3,103,1978-01-08,1,524,SATURNA,VRUB,1959-10-01,18.28,3530,TELLUS,VRUB,1975-05-17,2.65,1996-10-06,18.47,NA,NA,18.47,6,NA,3042,1978-12-29,12,252,36,8.28,8,0.69,318,60,5.3,6491,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,3570,N,F,TERRA,N,31,1978-04-21,4,NA,CB,Duke Lemur Center,3,103,1978-01-08,1,524,SATURNA,VRUB,1959-10-01,18.28,3530,TELLUS,VRUB,1975-05-17,2.65,1994-01-19,15.76,NA,NA,15.76,NA,NA,2653,1978-10-30,10,192,27.43,6.31,6,0.53,746,73,10.22,5560,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,3571,N,M,HADES,N,30,1978-04-21,4,NA,CB,Duke Lemur Center,3,103,1978-01-08,1,524,SATURNA,VRUB,1959-10-01,18.28,3530,TELLUS,VRUB,1975-05-17,2.65,1988-09-27,10.44,NA,NA,10.44,3,NA,324,1978-05-13,5,22,3.14,0.72,0,0.06,103,7,14.71,3790,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,3585,N,M,RUFF,N,682,1978-05-06,5,NA,CB,Duke Lemur Center,1,120,1978-01-06,1,519,RED CHILD,ERUF,1966-03-04,11.85,1525,CORLEY,ERUF,1972-12-12,5.07,NA,NA,NA,1.02,1.02,NA,NA,531,1978-06-26,6,51,7.29,1.68,1,0.14,27,4,6.75,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,4541,N,M,DUN,N,711,1979-03-21,3,NA,CB,Duke Lemur Center,1,120,1978-11-21,11,4507,ROUGE,ERUF,1977-02-27,1.73,4506,RUSSET,ERUF,1977-04-13,1.61,NA,NA,NA,14.73,14.73,1,NA,3055.5,1985-11-11,11,2427,346.71,79.79,79,6.65,NA,NA,NA,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,4546,N,F,CINNABAR,N,721,1979-04-05,4,NA,CB,Duke Lemur Center,1,120,1978-12-06,12,1512,HEME,ERUF,1972-03-08,6.75,2535,ROAN,ERUF,1976-03-04,2.76,1991-08-13,12.36,NA,NA,12.36,3,NA,2197,1983-10-25,10,1664,237.71,54.71,54,4.56,NA,NA,NA,2849,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,4547,N,F,AUBURN,N,723,1979-04-09,4,NA,CB,Duke Lemur Center,1,120,1978-12-10,12,541,HERMIONE,ERUF,1968-03-28,10.71,515,THURBER,ERUF,1958-10-01,20.21,1987-05-16,8.11,NA,NA,8.11,2,NA,1317,1979-09-20,9,164,23.43,5.39,5,0.45,NA,NA,NA,2795,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,4575,N,F,VENUS II,N,42,1979-05-01,5,NA,CB,Duke Lemur Center,1,103,1979-01-18,1,524,SATURNA,VRUB,1959-10-01,19.31,3530,TELLUS,VRUB,1975-05-17,3.68,2000-11-26,21.59,NA,NA,21.59,13,NA,3923,1984-04-17,4,1813,259,59.61,59,4.97,-27,822,-0.03,6067,1.65,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,4589,N,M,COPPER,N,759,1979-05-31,5,NA,CB,Duke Lemur Center,1,120,1979-01-31,1,2506,MELPOMENE,ERUF,1975-03-25,3.86,1525,CORLEY,ERUF,1972-12-12,6.14,NA,NA,NA,7.82,7.82,NA,NA,2742,1983-10-27,10,1610,230,52.93,52,4.41,NA,NA,NA,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,514,N,F,LISA DELLA,N,186,1965-03-08,3,NA,CB,Duke Lemur Center,1,120,1964-11-08,11,510,CALO,ERUF,1958-10-01,6.11,515,THURBER,ERUF,1958-10-01,6.11,1987-01-21,21.89,NA,NA,21.89,13,NA,2500,1972-03-08,3,2557,365.29,84.07,84,7.01,NA,NA,NA,5432,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,519,N,F,RED CHILD,N,199,1966-03-04,3,NA,CB,Duke Lemur Center,1,120,1965-11-04,11,510,CALO,ERUF,1958-10-01,7.1,515,THURBER,ERUF,1958-10-01,7.1,1985-07-03,19.35,NA,NA,19.35,15,NA,3080,1972-06-27,6,2307,329.57,75.85,75,6.32,540,81,6.67,4754,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,532,N,F,CALYPSO,N,225,1967-04-14,4,NA,CB,Duke Lemur Center,1,120,1966-12-15,12,510,CALO,ERUF,1958-10-01,8.21,515,THURBER,ERUF,1958-10-01,8.21,1993-01-03,25.74,NA,NA,25.74,6,NA,2962,1972-03-03,3,1785,255,58.68,58,4.89,322,549,0.59,7611,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,541,N,F,HERMIONE,N,249,1968-03-28,3,NA,CB,Duke Lemur Center,1,120,1967-11-29,11,510,CALO,ERUF,1958-10-01,9.17,515,THURBER,ERUF,1958-10-01,9.17,1997-03-17,28.99,NA,NA,28.99,15,NA,2430,1972-03-08,3,1441,205.86,47.38,47,3.95,NA,NA,NA,9140,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5504,N,M,BURGUNDY,N,772,1980-02-17,2,NA,CB,Duke Lemur Center,1,120,1979-10-20,10,3599,SIENNA,ERUF,1975-03-01,4.64,3508,MACHO,ERUF,1977-04-18,2.51,NA,NA,NA,8.43,8.43,NA,NA,163,1980-03-13,3,25,3.57,0.82,0,0.07,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5508,N,M,RED,N,774,1980-03-12,3,NA,CB,Duke Lemur Center,1,120,1979-11-13,11,1512,HEME,ERUF,1972-03-08,7.69,4503,RUBRIC,ERUF,1968-10-01,11.12,NA,NA,NA,11.37,11.37,NA,NA,268,1980-04-04,4,23,3.29,0.76,0,0.06,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5529,N,M,SORREL,N,804,1980-04-27,4,NA,CB,Duke Lemur Center,1,120,1979-12-29,12,519,RED CHILD,ERUF,1966-03-04,13.83,1525,CORLEY,ERUF,1972-12-12,7.05,2005-08-09,25.3,NA,NA,25.3,5,NA,2497,1990-03-21,3,3615,516.43,118.85,118,9.9,2,124,0.02,5620,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5538,N,M,NEPTUNE,N,43,1980-05-04,5,NA,CB,Duke Lemur Center,2,103,1980-01-22,1,524,SATURNA,VRUB,1959-10-01,20.32,3530,TELLUS,VRUB,1975-05-17,4.69,2003-08-25,23.32,NA,NA,23.32,NA,NA,3385,1982-01-18,1,624,89.14,20.52,20,1.71,-75,74,-1.01,7889,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5539,N,F,DIANA,N,44,1980-05-04,5,NA,CB,Duke Lemur Center,2,103,1980-01-22,1,524,SATURNA,VRUB,1959-10-01,20.32,3530,TELLUS,VRUB,1975-05-17,4.69,2005-02-17,24.81,NA,NA,24.81,6,NA,999,1980-07-01,7,58,8.29,1.91,1,0.16,903,56,16.13,8997,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5567,N,M,REDCAP,N,838,1981-02-26,2,NA,CB,Duke Lemur Center,1,120,1980-10-29,10,3599,SIENNA,ERUF,1975-03-01,5.67,3508,MACHO,ERUF,1977-04-18,3.53,2007-04-17,26.15,NA,NA,26.15,1,NA,2628,1983-10-25,10,971,138.71,31.92,31,2.66,NA,NA,NA,8575,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5575,N,M,REDBRICK,N,843,1981-03-17,3,NA,CB,Duke Lemur Center,1,120,1980-11-17,11,4502,OCHRE,ERUF,1968-10-01,12.14,515,THURBER,ERUF,1958-10-01,22.15,NA,NA,NA,2.81,2.81,NA,NA,2452,1983-10-25,10,952,136,31.3,31,2.61,NA,NA,NA,NA,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5577,N,F,TAWNY,N,844,1981-03-17,3,NA,CB,Duke Lemur Center,1,120,1980-11-17,11,1512,HEME,ERUF,1972-03-08,8.7,4503,RUBRIC,ERUF,1968-10-01,12.14,1985-02-01,3.88,NA,NA,3.88,2,NA,2338,1983-07-26,7,861,123,28.31,28,2.36,2252,860,2.62,556,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5580,N,F,FLAME,N,845,1981-03-21,3,NA,CB,Duke Lemur Center,1,120,1980-11-21,11,4507,ROUGE,ERUF,1977-02-27,3.73,3556,MENELAUS,ERUF,1978-04-03,2.64,NA,NA,NA,7.34,7.34,NA,NA,1875,1982-03-21,3,365,52.14,12,12,1,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5587,N,F,CYNTHIA,N,57,1981-03-30,3,NA,CB,Duke Lemur Center,2,103,1980-12-17,12,524,SATURNA,VRUB,1959-10-01,21.23,4590,SATURN,VRUB,1960-10-01,20.22,2016-04-28,35.1,NA,NA,35.1,17,NA,3047,1990-10-16,10,3487,498.14,114.64,114,9.55,194,146,1.33,9326,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5629,N,M,PHOENIX,N,61,1981-05-19,5,NA,CB,Duke Lemur Center,3,103,1981-02-05,2,544,PERSEPHONE,VRUB,1968-04-28,12.78,3530,TELLUS,VRUB,1975-05-17,5.73,2003-05-14,22,NA,NA,22,15,NA,3441,1990-11-19,11,3471,495.86,114.12,114,9.51,354,155,2.28,4559,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5630,N,F,HIMALIA,N,62,1981-05-19,5,NA,CB,Duke Lemur Center,3,103,1981-02-05,2,544,PERSEPHONE,VRUB,1968-04-28,12.78,3530,TELLUS,VRUB,1975-05-17,5.73,1992-04-29,10.95,NA,NA,10.95,20,NA,3278,1985-12-08,12,1664,237.71,54.71,54,4.56,37,12,3.08,2334,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5631,N,F,LYSITHEA,N,63,1981-05-19,5,NA,CB,Duke Lemur Center,3,103,1981-02-05,2,544,PERSEPHONE,VRUB,1968-04-28,12.78,3530,TELLUS,VRUB,1975-05-17,5.73,1982-10-11,1.4,NA,NA,1.4,NA,NA,704,1981-07-08,7,50,7.14,1.64,1,0.14,NA,NA,NA,460,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5654,N,M,REDHEAD,N,915,1982-03-15,3,NA,CB,Duke Lemur Center,1,120,1981-11-15,11,3599,SIENNA,ERUF,1975-03-01,6.72,3508,MACHO,ERUF,1977-04-18,4.58,NA,NA,NA,2.52,2.52,NA,NA,908,1982-07-07,7,114,16.29,3.75,3,0.31,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5657,N,M,VERMILLION,N,917,1982-03-17,3,NA,CB,Duke Lemur Center,1,120,1981-11-17,11,4577,RUBY,ERUF,1979-05-09,2.53,2535,ROAN,ERUF,1976-03-04,5.71,NA,NA,NA,9.36,9.36,NA,NA,441,1982-05-18,5,62,8.86,2.04,2,0.17,357,62,5.75,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5659,N,F,MAGENTA,N,918,1982-03-17,3,NA,CB,Duke Lemur Center,1,120,1981-11-17,11,4507,ROUGE,ERUF,1977-02-27,4.72,3556,MENELAUS,ERUF,1978-04-03,3.63,NA,NA,NA,1.81,1.81,NA,NA,2515,1983-12-05,12,628,89.71,20.65,20,1.72,NA,NA,NA,NA,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5660,N,F,HENNA,N,919,1982-03-17,3,NA,CB,Duke Lemur Center,1,120,1981-11-17,11,4502,OCHRE,ERUF,1968-10-01,13.14,515,THURBER,ERUF,1958-10-01,23.15,NA,NA,NA,4.81,4.81,1,NA,2606,1986-04-04,4,1479,211.29,48.62,48,4.05,2563,1479,1.73,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5689,N,M,VENERIUS,N,72,1982-05-02,5,NA,CB,Duke Lemur Center,3,103,1982-01-19,1,4575,VENUS II,VRUB,1979-05-01,2.72,5560,PLUTO III,VRUB,1977-05-28,4.65,1996-03-07,13.86,NA,NA,13.86,NA,NA,2847,1983-08-30,8,485,69.29,15.95,15,1.33,NA,NA,NA,4573,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5691,N,F,VENUTIA,N,74,1982-05-02,5,NA,CB,Duke Lemur Center,3,103,1982-01-19,1,4575,VENUS II,VRUB,1979-05-01,2.72,5560,PLUTO III,VRUB,1977-05-28,4.65,2003-10-18,21.48,NA,NA,21.48,NA,NA,2791,1983-10-03,10,519,74.14,17.06,17,1.42,213,10,21.3,7320,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5698,N,M,HERMES,N,80,1982-05-08,5,NA,CB,Duke Lemur Center,3,103,1982-01-25,1,544,PERSEPHONE,VRUB,1968-04-28,13.75,5560,PLUTO III,VRUB,1977-05-28,4.67,2001-05-01,18.99,NA,NA,18.99,10,NA,4177,1989-10-11,10,2713,387.57,89.19,89,7.43,209,604,0.35,4220,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5699,N,F,PLUTONIA,N,81,1982-05-08,5,NA,CB,Duke Lemur Center,3,103,1982-01-25,1,544,PERSEPHONE,VRUB,1968-04-28,13.75,5560,PLUTO III,VRUB,1977-05-28,4.67,1988-02-05,5.75,NA,NA,5.75,3,NA,3360,1987-01-06,1,1704,243.43,56.02,56,4.67,-277,50,-5.54,395,1.65,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5729,N,M,Fiery,N,971,1983-03-03,3,NA,CB,Duke Lemur Center,2,120,1982-11-03,11,1512,HEME,ERUF,1972-03-08,10.66,4503,RUBRIC,ERUF,1968-10-01,14.1,2013-06-21,30.32,NA,NA,30.32,1,NA,2280,1992-11-19,11,3549,507,116.68,116,9.72,326,57,5.72,7519,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5740,N,F,ROSIE,N,982,1983-03-20,3,NA,CB,Duke Lemur Center,2,120,1982-11-20,11,4507,ROUGE,ERUF,1977-02-27,5.73,3556,MENELAUS,ERUF,1978-04-03,4.64,NA,NA,NA,5.24,5.24,1,NA,2415,1987-09-29,9,1654,236.29,54.38,54,4.53,NA,NA,NA,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5746,N,F,GINGY,N,985,1983-03-27,3,NA,CB,Duke Lemur Center,2,120,1982-11-27,11,5577,TAWNY,ERUF,1981-03-17,1.7,4503,RUBRIC,ERUF,1968-10-01,14.16,1985-05-02,2.1,NA,NA,2.1,NA,NA,676,1983-07-26,7,121,17.29,3.98,3,0.33,NA,NA,NA,646,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5747,N,F,CHERRY,N,986,1983-03-27,3,NA,CB,Duke Lemur Center,2,120,1982-11-27,11,5577,TAWNY,ERUF,1981-03-17,1.7,4503,RUBRIC,ERUF,1968-10-01,14.16,NA,NA,NA,5.44,5.44,1,NA,713,1983-07-26,7,121,17.29,3.98,3,0.33,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5766,N,M,DENEB,N,89,1983-04-15,4,NA,CB,Duke Lemur Center,3,103,1983-01-02,1,4575,VENUS II,VRUB,1979-05-01,3.68,5560,PLUTO III,VRUB,1977-05-28,5.6,2016-06-03,33.16,NA,NA,33.16,NA,NA,2911,1985-11-08,11,938,134,30.84,30,2.57,NA,NA,NA,11165,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5768,N,M,CASTOR,N,91,1983-04-16,4,NA,CB,Duke Lemur Center,2,103,1983-01-03,1,544,PERSEPHONE,VRUB,1968-04-28,14.69,3530,TELLUS,VRUB,1975-05-17,7.64,2004-08-07,21.33,NA,NA,21.33,8,NA,3365,1988-05-17,5,1858,265.43,61.08,61,5.09,-140,543,-0.26,5926,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5769,N,M,POLLUX,N,92,1983-04-16,4,NA,CB,Duke Lemur Center,2,103,1983-01-03,1,544,PERSEPHONE,VRUB,1968-04-28,14.69,3530,TELLUS,VRUB,1975-05-17,7.64,1999-05-25,16.12,NA,NA,16.12,3,NA,3187,1986-01-09,1,999,142.71,32.84,32,2.74,-36,32,-1.13,4884,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5781,N,M,REDNECK,N,1010,1983-04-22,4,NA,CB,Duke Lemur Center,1,120,1982-12-23,12,4546,CINNABAR,ERUF,1979-04-05,3.72,4503,RUBRIC,ERUF,1968-10-01,14.24,NA,NA,NA,10.54,10.54,NA,NA,2070,1990-05-31,5,2596,370.86,85.35,85,7.11,-283,195,-1.45,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5783,N,F,RED LAKE,N,1011,1983-04-24,4,NA,CB,Duke Lemur Center,1,120,1982-12-25,12,5564,CRIMSON,ERUF,1979-02-10,3.87,3598,REDTOP,ERUF,1974-03-15,8.79,NA,NA,NA,24.37,24.37,13,NA,2608,1989-11-17,11,2399,342.71,78.87,78,6.57,779,769,1.01,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5784,N,M,ARCTURUS,N,98,1983-04-26,4,NA,CB,Duke Lemur Center,1,103,1983-01-13,1,5630,HIMALIA,VRUB,1981-05-19,1.65,3530,TELLUS,VRUB,1975-05-17,7.67,2005-08-12,22.31,NA,NA,22.31,NA,NA,2524,1984-06-01,6,402,57.43,13.22,13,1.1,-50,28,-1.79,7742,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5790,N,M,JOVE,N,99,1983-04-27,4,NA,CB,Duke Lemur Center,1,103,1983-01-14,1,5587,CYNTHIA,VRUB,1981-03-30,1.79,3569,JUPITER,VRUB,1978-04-21,4.74,2009-01-30,25.78,NA,NA,25.78,10,NA,3146,1991-05-03,5,2928,418.29,96.26,96,8.02,-722,262,-2.76,6482,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5791,N,M,GEOS,N,100,1983-04-27,4,NA,CB,Duke Lemur Center,2,103,1983-01-14,1,5539,DIANA,VRUB,1980-05-04,2.7,5560,PLUTO III,VRUB,1977-05-28,5.64,1989-07-09,6.21,NA,NA,6.21,NA,NA,2787,1983-12-05,12,222,31.71,7.3,7,0.61,2552,209,12.21,2043,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5792,N,F,GE,N,101,1983-04-27,4,NA,CB,Duke Lemur Center,2,103,1983-01-14,1,5539,DIANA,VRUB,1980-05-04,2.7,5560,PLUTO III,VRUB,1977-05-28,5.64,2013-04-04,29.96,NA,NA,29.96,NA,NA,2887,1985-04-15,4,719,102.71,23.64,23,1.97,454,497,0.91,10216,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5799,N,F,COCHINEAL,N,1023,1983-05-08,5,NA,CB,Duke Lemur Center,1,120,1983-01-08,1,4502,OCHRE,ERUF,1968-10-01,14.28,515,THURBER,ERUF,1958-10-01,24.29,NA,NA,NA,3.67,3.67,NA,NA,2293,1986-04-04,4,1062,151.71,34.92,34,2.91,NA,NA,NA,NA,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
